,,,,,,,,,,,,,,,,,,,
국가,제목,전시 정보,설명,작가명,전시 시작,전시 종료,국가,지역,장소(건물명),장르,전시 스타일,예약링크,전시 상세 링크,위도,경도,전화번호,영업시간,가격,주소
프랑스,Matisse – Soulages,마티스와 쥘라쥬의 예술세계에 몰입하는 VR/프로젝션/전시 융합 대규모 체험형 전시,"프랑스 뫼동의 Hangar Y에서 열리는 《Matisse – Soulages》는 두 거장 앙리 마티스와 피에르 쥘라쥬의 세계를 예술과 기술의 결합으로 다시 구성한다. VR과 대형 프로젝션, 실물 전시가 교차하는 공간 안에서 관람자는 두 예술가의 창작 과정을 걷듯이 따라간다. 색과 빛, 신체와 물성이 한데 얽히며 회화는 감각의 장으로 확장된다.

마티스의 대담한 색채와 리듬, 쥘라쥬의 깊은 흑색과 빛의 반사가 서로를 비추며 새로운 대화를 만들어낸다. 《Danse, danse, danse – Matisse》와 《Outrenoir – Soulages》 두 개의 VR 체험이 전시의 중심을 이루고, 현대 작가들의 오마주 전시 《Free Jazz… suite》와 INA 아카이브 영상이 이를 확장한다. 80분 동안 이어지는 여정 속에서 회화는 음악과 춤, 시간과 빛의 언어로 다시 태어난다.","Henri Matisse, Pierre Soulages, 외 현대작가",10/18/25,3/8/26,프랑스,"뮈동
(Meudon, Paris 외곽)",Hangar Y,"현대미술, 디지털/미디어 아트, 설치 미술","몰입형, VR/AR, 인터랙티브, 미디어 아트, 공간 연출",https://hangar-y.com/billetterie/billets-dentree/,https://hangar-y.com/evenement/matisse-soulages/,48.8107,2.2274,33 1 86 47 28 70,11시~19시,25유로,"9 avenue de Trivaux, 92190 Meudon"
,"Danse, danse, danse – Matisse",VR로 만나는 마티스 대표작과 현대적 오마주 전시,"앙리 마티스의 ‘La Danse’를 모티브로 한 VR 체험과 현대 작가 7인의 그룹전 《Free Jazz… suite》가 한 공간 안에서 교차한다. 색, 소리, 신체의 움직임이 서로를 해석하며, 회화의 탄생이 춤과 리듬의 흐름으로 전환된다.

VR 공간 안에서 몸짓은 붓질이 되고, 색은 소리가 된다. 관람자는 움직임의 궤적을 따라가며 마티스가 꿈꾼 자유와 해방의 세계를 몸으로 경험한다. 이 여정의 끝에서 예술은 감각과 시간의 즉흥적 연주가 된다.","Henri Matisse, Agnès Thurnauer 외 6명",10/18/25,3/8/26,프랑스,뮈동,Hangar Y,"회화, 디지털/미디어 아트, 현대미술","VR/AR, 퍼포먼스, 인터랙티브, 공간 연출",https://hangar-y.com/billetterie/billets-dentree/,https://hangar-y.com/evenement/danse-danse-danse-matisse/,48.8107,2.2274,33 1 86 47 28 70,11시~19시,25유로,"9 avenue de Trivaux, 92190 Meudon"
,Outrenoir – Soulages,"쥘라쥬의 '흑(黑)의 미학'과 생애, 예술세계를 VR·아카이브 자료로 심층 체험","쥘라쥬의 ‘아웃르느와르(Outrenoir, 깊은 흑)’은 색이 아닌 빛의 조형이다. VR 미디어 속 공간은 그의 기억과 작업실, 교회의 스테인드글라스, 그리고 미술관의 장면들로 이어진다. 관람자는 빛이 흑 속에 스며드는 과정을 따라가며, 회화가 사유의 장소로 변하는 순간을 목격한다.

반사와 깊이, 명상과 침묵이 중첩된 이 공간은 쥘라쥬 예술의 근원적 힘을 드러낸다. INA 아카이브에는 그의 손끝과 붓의 제스처, 인터뷰가 담겨 있다. VR은 이를 단순히 재현하지 않는다. 회화가 품은 시간과 철학을 감각으로 다시 써 내려간다.",Pierre Soulages,10/18/25,3/8/26,프랑스,뮈동,Hangar Y,"회화, 디지털/미디어 아트, 현대미술","공간 연출형. VR/AR, 몰입형, 미디어 아트",https://hangar-y.com/billetterie/billets-dentree/,https://hangar-y.com/evenement/outrenoir-soulages/,48.8107,2.2274,33 1 86 47 28 70,11시~19시,25유로,"9 avenue de Trivaux, 92190 Meudon"
,Steffani Jemison: ciel clair / eaux troubles,아메리카 원주민 문화와 현대사 조명하는 설치 및 영상 전시,"스테파니 제미슨은 라파예트 안티시페이션스 레지던시 기간 동안 제작한 새로운 조각 작품을 설치 작업의 일부로 선보입니다. 이번 전시에서는 움직임과 방향 감각을 탐구하는 신작 영상도 함께 공개합니다. 작품은 서로 다른 시간성을 교차시키며 폭력의 지리학과 해방의 실천 사이의 얽힘을 드러냅니다. 작가는 관람객이 고정된 시선에서 벗어나, 정해진 축이 아닌 내면의 충동과 감각에 따라 움직임을 재고하도록 초대합니다.

전시 공간의 분위기는 단순한 배경이 아니라 하나의 경험으로 제시됩니다. 역사와 기억, 그리고 보이지 않는 긴장감이 뒤섞인 기후 같은 환경 속에서 신체는 궤적을 만들고 방향을 형성합니다. 전시는 이러한 감지할 수 없는 흐름에 주목하며, 중력과 욕망, 정지와 시작 사이의 마찰 속에서 새로운 몸짓이 탄생하는 순간을 보여줍니다. 변화하는 환경 속에서 움직임은 끊임없이 재구성되고, 존재의 형태는 즉흥적으로 만들어집니다.",Steffani Jemison,10/22/25,2/8/26,프랑스,파리,Lafayette Anticipations,"설치미술, 미디어/디지털 아트,현대 미술","몰입형, 공간 연출, 미디어 아트형",https://billetterie.lafayetteanticipations.com/index-css5-lafayetteanticipationsweb-pg1.html,https://www.lafayetteanticipations.com/fr/exposition/steffani-jemison,48.8636,2.3576,33 (0)1 42 82 89 98,"월,화: 휴관
수~일 14시~19시",,
,Meriem Bennani: Sole crushing,사운드 설치와 집단적 리듬·연대의 미학을 실험하는 대형 퍼포먼스·설치전,"약 200켤레의 슬리퍼와 샌들이 건물 전역에 흩어져 있다. 관람객은 이 바닥 위를 걸으며 서로 다른 재질과 질감, 바닥의 울림을 직접 경험한다. 발소리는 점차 리듬이 되고, 리듬은 공간을 따라 확장된다. 이렇게 만들어진 소리는 개인의 걸음이자 집단의 박동이며, 몸이 악기가 되어 공간 전체를 하나의 심포니로 바꾼다.

이 설치는 걷기와 두드림이라는 원초적 행위를 통해 공동체와 해방, 에너지와 음악의 미학을 사유한다. 슬리퍼는 일상의 사물이지만, 전시 안에서는 움직임을 공유하고 소리를 만들어내는 매개가 된다. 각각의 발걸음은 서로 다른 속도와 강도로 겹쳐지고, 그 안에서 낯선 조화와 즉흥의 질서가 형성된다.

유년의 놀이, 전통적 리듬, 시위와 축제의 행렬처럼, 이 공간의 몸짓들은 기억과 문화의 층위를 오가며 새로운 형태의 집단적 표현으로 이어진다. 관람객은 하나의 무대 위를 걷는 참여자가 되고, 전시는 걷기와 소리, 반복과 유희로 이어지는 공동의 퍼포먼스로 완성된다.",Meriem Bennani,10/22/25,2/8/26,프랑스,파리,Lafayette Anticipations,"설치 미술, 현대미술","사운드 기반, 퍼포먼스, 인터랙티브, 몰입형, 공간 연출",https://billetterie.lafayetteanticipations.com/index-css5-lafayetteanticipationsweb-pg1.html,https://www.lafayetteanticipations.com/fr/exposition/meriem-bennani,48.8636,2.3576,33 (0)1 42 82 89 98,"월,화: 휴관
수~일 14시~19시",,
,Gabrielle Hébert: Chronique d'un amour fou,20년간 프랑스 예술가 작업실을 사진으로 기록한 전시,"본 전시는 19세기 말에서 20세기 초 사이, 프랑스와 이탈리아를 오가며 활동한 가브리엘 에베르(Gabrielle Hébert)의 사진과 아카이브를 중심으로 구성된다. 그녀가 남긴 기록은 예술적 실천의 흔적이자, 한 여성 예술가가 사회 속에서 자신의 위치를 모색해 나간 여정의 기록이다.

에베르의 사진 일기에는 예술가와 혁명가, 지식인들이 교차하던 시대의 공기가 담겨 있다. 렌즈를 통해 포착된 인물과 풍경은 단순한 기록을 넘어, 관계와 일상의 긴장, 예술과 삶이 맞닿는 경계를 드러낸다. 전시는 이러한 장면들을 통해 한 개인의 시선 속에 축적된 시대의 감정과 정신을 탐구한다.

그녀의 작업은 관찰이면서 동시에 참여이다. 카메라는 타인의 삶을 비추는 도구이자, 자신을 사회 속에 새기는 방법이었다. 이번 전시는 에베르의 시선을 따라가며, 예술과 삶, 기록과 기억 사이에서 형성되는 ‘여성적 응시’의 의미를 다시 읽어낸다.",Gabrielle Hébert,10/28/25,2/15/26,프랑스,파리,"Musée d’Orsay, 파리","사진, 역사/고전 미술, 근대 미술",공간 연출형,https://billetterie.musee-orsay.fr/fr-FR/accueil,https://www.musee-orsay.fr/fr/agenda/expositions/gabrielle-hebert-chronique-dun-amour-fou-la-villa-medicis,48.8599,2.3266,01 40 49 48 14,"월 휴관
화,수,금~일 9시 30분~18시
목 9시 30분~21시 45분","16유로 
어린이: 13유로
18세~26세 EU 거주: 무료",
,Construire et orner l'Opéra,오페라 가르니에 건축·장식 역사를 집중 조명하는 사진 및 건축도면 전시,"1875년 완공된 파리 오페라 가르니에(Opéra Garnier)는 올해로 개관 150주년을 맞는다. 본 전시는 건축가 샤를 가르니에(Charles Garnier)가 구상한 이 위대한 건축물이 예술과 기술, 조형의 결합을 통해 어떻게 하나의 총체적 예술로 완성되었는지를 조명한다.

당시 사진가 들메(Delmaet)와 뒤랑델(Durandelle)이 남긴 희귀 기록사진, 건축 구상도, 장식 조각 스케치와 같은 자료들이 공개되며, 19세기 후반 파리의 예술적 실험과 문화적 야망을 생생히 드러낸다. 제2제정기에서 제3공화국으로 이어지는 시대적 변화를 배경으로, 이 건축은 화가·조각가·장인 등 수십 명의 예술가가 참여한 대규모 협업의 결정체로 재조명된다.

전시는 건축과 조각, 회화가 융합된 오페라 가르니에의 구조를 중심으로, 장식 예술의 진화와 그 안에 담긴 미적 이상을 탐구한다. 화려함과 질서, 환상과 상징이 교차하는 이 공간은 19세기 예술이 추구한 ‘종합의 미학’이자, 오늘날에도 살아 있는 문화적 유산으로 제시된다.","Charles Garnier, Delmaet et Durandelle 외",10/14/25,1/18/26,프랑스,파리,Musée d'Orsay (Cabinet d'architecture),"역사/고전 미술, 사진",공간 연출형,https://billetterie.musee-orsay.fr/fr-FR/accueil,https://www.musee-orsay.fr/fr/agenda/expositions/construire-et-orner-lopera,48.8599,2.3266,01 40 49 48 14,"월 휴관
화,수,금~일 9시 30분~18시
목 9시 30분~21시 45분","16유로 
어린이: 13유로
18세~26세 EU 거주: 무료",
,Lumière du nord : dessins scandinaves et hollandais du musée d’Orsay,19세기 북유럽 풍경·상징·가정적 장면 전통을 집중 조명하는 드로잉·소장품 전시,"오르세 미술관이 소장한 북유럽 드로잉을 중심으로, 19세기 유럽 예술의 또 다른 흐름을 조명한다. 스웨덴, 덴마크, 네덜란드 주요 작가들의 작품이 한자리에 모이며, 상징주의적 풍경과 고요한 일상 장면 속에 스칸디나비아 특유의 빛과 감정이 스며 있다.

전시는 최근 새롭게 수집된 미공개 스웨덴·네덜란드 드로잉과 함께, 칼 라르손(Carl Larsson), 페데르 크뢰이어(Peder Krøyer), 칼 포르스베리(Carl Forsberg), 필리프 스밋(Philippe Smit) 등 북유럽을 대표하는 작가들의 작품을 폭넓게 소개한다. 각자의 시선으로 포착된 자연과 인물, 실내의 풍경은 19세기 유럽 예술이 지닌 다양성과 상징의 미학을 드러낸다.

이 전시는 개인적 정서와 집단적 시대감각이 교차하는 북유럽 예술의 정수를 보여준다. 정제된 선, 절제된 색, 그리고 빛이 만들어내는 서정 속에서 관람자는 유럽 근대 예술의 또 다른 결을 경험하게 된다.","Carl Larsson, Peder Severin Krøyer, Carl Forsberg, Philippe Smit 외",2/10/26,5/10/26,프랑스,파리,Musée d'Orsay (Cabinet d'arts graphiques),"순수 미술, 근대미술",공간 연출형,https://billetterie.musee-orsay.fr/fr-FR/accueil,https://www.musee-orsay.fr/fr/agenda/expositions/lumiere-du-nord-dessins-scandinaves-et-hollandais-du-musee-dorsay,48.8599,2.3266,01 40 49 48 14,"월 휴관
화,수,금~일 9시 30분~18시
목 9시 30분~21시 45분","16유로 
어린이: 13유로
18세~26세 EU 거주: 무료",
,Un art total Dessins de la Sécession viennoise,빈 분리파 건축·미술의 혁신성과 ‘토탈 아트’ 개념 중심 드로잉 전시,"오르세 미술관 소장품을 중심으로, 요제프 호프만(Josef Hoffmann), 오토 바그너(Otto Wagner), 에밀 호페(Emil Hoppe) 등 빈 분리파 건축가들의 드로잉과 설계 원본을 조명한다. 이들은 예술·건축·디자인의 경계를 허물며 ‘예술의 총체성(Gesamtkunstwerk)’이라는 개념을 실현하려 했다.

전시는 스토클레 궁전(Stoclet Palace) 등 대규모 프로젝트에서 드러난 실험정신을 중심으로, 모더니즘 미술운동이 제시한 사회적·조형적 혁신을 탐구한다. 세밀한 건축 드로잉 속에는 구조와 장식, 기능과 미학이 긴밀히 결합된 당시의 비전을 읽을 수 있다.

오르세가 소장한 호프만의 최근 원화와 미공개 드로잉을 포함해, 예술과 기술이 조화를 이루던 빈의 황금기가 펼쳐진다. 직선과 곡선이 교차하는 도면 위에서 형태는 하나의 언어가 되고, 건축은 시대의 정신을 담는 예술로 다시 태어난다.","Josef Hoffmann, Otto Wagner, Emil Hoppe, Marcel Kammerer, Otto Schönthal",1/27/26,5/17/26,프랑스,파리,Musée d'Orsay (Cabinet d'architecture),"순수 미술, 근대미술",공간 연출형,https://billetterie.musee-orsay.fr/fr-FR/accueil,https://www.musee-orsay.fr/fr/agenda/expositions/un-art-total-dessins-de-la-secession-viennoise,48.8599,2.3266,01 40 49 48 14,"월 휴관
화,수,금~일 9시 30분~18시
목 9시 30분~21시 45분","16유로 
어린이: 13유로
18세~26세 EU 거주: 무료",
,Renoir dessinateur,르누아르의 드로잉·색채·구상 과정을 집중 조명하는 회고전,"본 전시는 피에르 오귀스트 르누아르(Pierre-Auguste Renoir)가 평생 동안 다룬 다양한 종이 위의 작업들을 한자리에 모았다. 스케치, 수채화, 파스텔, 드로잉, 판화와 삽화 초안에 이르기까지, 그의 손끝에서 태어난 선과 색의 실험이 시대별로 펼쳐진다. 학생 시절의 연습 드로잉부터 후기의 성숙한 작품까지를 따라가며, 르누아르가 어떻게 형태와 빛, 구도를 선으로 사유했는지를 보여준다.

그의 드로잉은 단순한 밑그림이 아니라 회화의 본질을 탐구한 또 하나의 언어였다. 자유롭고 유기적인 선은 인상파 화가들이 지닌 ‘즉흥성’이라는 통념을 넘어, 치밀한 연구와 직관이 교차한 결과로 읽힌다. 1880년대 이후 두드러진 상귄(sanguine) 기법의 사용은 인체의 온기와 살결의 질감을 표현하려는 미학적 탐구의 정점이었다.

전시는 르누아르의 드로잉을 통해 예술가의 내밀한 창작 과정과 감각의 질서를 들여다본다. 인물과 자연, 움직임과 빛의 관계를 선으로 구축해낸 그의 세계는 회화보다 더 직접적으로 ‘보는 행위’의 본질을 드러내며, 르누아르 예술의 근원을 새롭게 조명한다.",Pierre-Auguste Renoir,3/17/26,7/5/26,프랑스,파리,"Musée d’Orsay, 파리","순수 미술, 근대미술",공간 연출형,https://billetterie.musee-orsay.fr/fr-FR/accueil,https://www.musee-orsay.fr/fr/agenda/expositions/renoir-dessinateur,48.8599,2.3266,01 40 49 48 14,"월 휴관
화,수,금~일 9시 30분~18시
목 9시 30분~21시 45분","16유로 
어린이: 13유로
18세~26세 EU 거주: 무료",
